ID,Concept,Time,cluster,pc1,pc2
ISG002,Climate change,pre,2,-0.30156365,-0.36917943
ISG002,Pollution,pre,3,0.44145244,-0.07783035
ISG002,Glaciers,pre,1,-0.6761915,0.035147823
ISG002,Sea,pre,0,0.053653736,0.6686657
ISG002,Plants,pre,3,0.30954218,-0.25421274
ISG002,Climate change,post,2,-0.25510746,-0.43303844
ISG002,Pollution,post,3,0.45774302,-0.024751801
ISG002,Glaciers,post,1,-0.4716322,0.055780075
ISG002,Sea,post,-1,-0.11429214,0.4489074
ISG002,Plants,post,3,0.36007836,-0.19334295
ISG003,Climate change,pre,2,-0.21000469,-0.3906591
ISG003,Pollution,pre,3,0.4175061,-0.15247773
ISG003,Glaciers,pre,1,-0.6200984,-0.005192505
ISG003,Sea,pre,0,0.07235138,0.564396
ISG003,Plants,pre,3,0.30826128,-0.23974204
ISG003,Climate change,post,2,-0.1873829,-0.3521115
ISG003,Pollution,post,3,0.40499094,-0.2154796
ISG003,Glaciers,post,1,-0.55999964,0.15862377
ISG003,Sea,post,0,0.15296927,0.489844
ISG003,Plants,post,3,0.24403007,-0.1581417
ISG005,Climate change,pre,-1,-0.49622557,-0.26712543
ISG005,Pollution,pre,3,0.44557858,-0.10584459
ISG005,Glaciers,pre,1,-0.6106483,-0.031288113
ISG005,Sea,pre,0,0.08128334,0.6328455
ISG005,Plants,pre,3,0.28613573,-0.14653099
ISG005,Climate change,post,2,-0.25963402,-0.42651996
ISG005,Pollution,post,3,0.28514427,-0.13026269
ISG005,Glaciers,post,1,-0.6145441,0.05936653
ISG005,Sea,post,0,0.06282065,0.6761447
ISG005,Plants,post,3,0.34682554,-0.28057456
ISG006,Climate change,pre,2,-0.13698249,-0.38857993
ISG006,Pollution,pre,3,0.3388097,-0.09765455
ISG006,Glaciers,pre,-1,-0.38577732,0.26795503
ISG006,Sea,pre,0,0.11633463,0.37809658
ISG006,Plants,pre,3,0.37017733,-0.21438433
ISG006,Climate change,post,2,-0.14382148,-0.42079625
ISG006,Pollution,post,3,0.34691975,0.15149698
ISG006,Glaciers,post,1,-0.54089,-0.11279694
ISG006,Sea,post,-1,0.25613096,0.47478423
ISG006,Plants,post,3,0.41945976,-0.18199566
ISG007,Climate change,pre,2,-0.22563492,-0.22970608
ISG007,Pollution,pre,3,0.3584073,0.11900232
ISG007,Glaciers,pre,1,-0.56026983,-0.066916
ISG007,Sea,pre,0,0.06757808,0.62270457
ISG007,Plants,pre,3,0.32788035,-0.18335085
ISG007,Climate change,post,2,-0.21623755,-0.18197712
ISG007,Pollution,post,3,0.22946018,0.0060964916
ISG007,Glaciers,post,1,-0.5336438,-0.024805196
ISG007,Sea,post,0,0.02432235,0.4547668
ISG007,Plants,post,3,0.21894954,-0.11264811
ISG008,Climate change,pre,2,-0.12849751,-0.42003322
ISG008,Pollution,pre,3,0.49979416,-0.018029302
ISG008,Glaciers,pre,1,-0.64200294,0.06667612
ISG008,Sea,pre,0,0.07514159,0.6464477
ISG008,Plants,pre,3,0.38112238,-0.24089988
ISG008,Climate change,post,2,-0.23916967,-0.44643703
ISG008,Pollution,post,3,0.37864003,-0.07333123
ISG008,Glaciers,post,1,-0.5969045,0.048626
ISG008,Sea,post,0,0.018459667,0.6416742
ISG008,Plants,post,3,0.26645973,-0.23175256
ISG012,Climate change,pre,2,-0.24090832,-0.4186268
ISG012,Pollution,pre,3,0.388911,-0.06266076
ISG012,Glaciers,pre,1,-0.47226262,0.02888009
ISG012,Sea,pre,0,-0.05837403,0.41847026
ISG012,Plants,pre,3,0.27574,-0.26189214
ISG012,Climate change,post,2,-0.099545516,-0.34596506
ISG012,Pollution,post,3,0.3887169,-0.07697394
ISG012,Glaciers,post,1,-0.64532197,0.024071917
ISG012,Sea,post,-1,-0.09341492,0.3418195
ISG012,Plants,post,3,0.31695592,-0.26965484
ISG015,Climate change,pre,-1,0.0338907,-0.36439338
ISG015,Pollution,pre,3,0.3669079,-0.07429674
ISG015,Glaciers,pre,1,-0.6746339,0.01957276
ISG015,Sea,pre,0,-0.009228343,0.60306925
ISG015,Plants,pre,3,0.34735483,-0.27937394
ISG015,Climate change,post,2,-0.18678002,-0.42048952
ISG015,Pollution,post,3,0.3669079,-0.07429674
ISG015,Glaciers,post,1,-0.68185467,0.013769517
ISG015,Sea,post,0,0.02242968,0.44366273
ISG015,Plants,post,3,0.37472472,-0.18630093
ISG016,Climate change,pre,2,-0.21173652,-0.34694362
ISG016,Pollution,pre,3,0.37944558,-0.09133928
ISG016,Glaciers,pre,1,-0.57129997,0.12816334
ISG016,Sea,pre,-1,0.29695258,0.42453444
ISG016,Plants,pre,3,0.30299082,-0.17374313
ISG016,Climate change,post,2,-0.098205715,-0.37691933
ISG016,Pollution,post,3,0.4525758,-0.015739737
ISG016,Glaciers,post,-1,-0.4294389,-0.104148954
ISG016,Sea,post,0,0.079618916,0.5071611
ISG016,Plants,post,3,0.48297164,-0.2960706
ISG017,Climate change,pre,2,-0.17226551,-0.36553422
ISG017,Pollution,pre,3,0.32471102,0.13809039
ISG017,Glaciers,pre,1,-0.46704468,0.007967408
ISG017,Sea,pre,0,0.060247324,0.50098324
ISG017,Plants,pre,3,0.33598295,-0.13825317
ISG017,Climate change,post,2,-0.13301194,-0.32070237
ISG017,Pollution,post,3,0.40085435,0.026397955
ISG017,Glaciers,post,1,-0.6064321,0.09108641
ISG017,Sea,post,-1,0.3019342,0.40577754
ISG017,Plants,post,3,0.19007325,-0.2988816
ISG018,Climate change,pre,2,-0.20607962,-0.3653743
ISG018,Pollution,pre,-1,0.384251,0.21277092
ISG018,Glaciers,pre,1,-0.59268695,0.082895644
ISG018,Sea,pre,0,0.02011109,0.63745815
ISG018,Plants,pre,3,0.2619125,-0.2277342
ISG018,Climate change,post,2,-0.079866886,-0.38289496
ISG018,Pollution,post,3,0.41812602,-0.12684691
ISG018,Glaciers,post,1,-0.61348844,0.076240644
ISG018,Sea,post,0,0.020021481,0.60088974
ISG018,Plants,post,3,0.4065342,-0.21160294
ISG026,Climate change,pre,2,-0.40746605,-0.29982042
ISG026,Pollution,pre,3,0.3505885,-0.03647326
ISG026,Glaciers,pre,1,-0.6090472,0.094681315
ISG026,Sea,pre,0,0.070818044,0.48526084
ISG026,Plants,pre,3,0.31955695,-0.2637467
ISG026,Climate change,post,2,-0.18054175,-0.42275932
ISG026,Pollution,post,3,0.4398849,0.006929433
ISG026,Glaciers,post,1,-0.60759175,0.071292184
ISG026,Sea,post,0,0.072598934,0.60089654
ISG026,Plants,post,3,0.32483834,-0.26228145
ISG027,Climate change,pre,-1,-0.44181588,-0.33735207
ISG027,Pollution,pre,3,0.4266901,-0.028196605
ISG027,Glaciers,pre,1,-0.6854898,-0.013393686
ISG027,Sea,pre,0,0.009087338,0.55352205
ISG027,Plants,pre,3,0.3397786,-0.3060366
ISG027,Climate change,post,2,-0.1613263,-0.36792782
ISG027,Pollution,post,3,0.25438154,-0.14129882
ISG027,Glaciers,post,1,-0.6311485,0.05849244
ISG027,Sea,post,0,0.07934104,0.6472921
ISG027,Plants,post,3,0.3494448,-0.3072086
ISG028,Climate change,pre,2,-0.33503193,-0.36668015
ISG028,Pollution,pre,-1,0.27030113,0.16625635
ISG028,Glaciers,pre,1,-0.6123403,0.036358662
ISG028,Sea,pre,0,0.02184732,0.51697785
ISG028,Plants,pre,3,0.23188448,0.10895109
ISG028,Climate change,post,2,-0.17374285,-0.35785353
ISG028,Pollution,post,3,0.17476316,-0.23118275
ISG028,Glaciers,post,-1,-0.44828883,0.2815376
ISG028,Sea,post,0,0.22312462,0.35707766
ISG028,Plants,post,3,0.3546242,-0.23934723
ISG029,Climate change,pre,2,-0.28430292,-0.38646436
ISG029,Pollution,pre,3,0.412484,0.10935222
ISG029,Glaciers,pre,1,-0.6244987,0.054598417
ISG029,Sea,pre,0,-0.00472104,0.6154763
ISG029,Plants,pre,3,0.3332655,-0.23731689
ISG029,Climate change,post,2,-0.096611574,-0.32323676
ISG029,Pollution,post,3,0.38403848,-0.083275035
ISG029,Glaciers,post,1,-0.43444198,0.16792922
ISG029,Sea,post,-1,0.31418502,0.36703408
ISG029,Plants,post,3,0.40434942,-0.3008797
ISG030,Climate change,pre,2,-0.21737824,-0.35048416
ISG030,Pollution,pre,-1,0.36264235,0.2262906
ISG030,Glaciers,pre,1,-0.5210815,0.22061862
ISG030,Sea,pre,0,0.018921062,0.4921354
ISG030,Plants,pre,3,0.33912888,-0.1278957
ISG030,Climate change,post,-1,0.057914447,-0.28817207
ISG030,Pollution,post,3,0.3950072,-0.041492797
ISG030,Glaciers,post,1,-0.6185708,0.059982624
ISG030,Sea,post,0,0.014631514,0.5321346
ISG030,Plants,post,3,0.37822974,0.004292744
ISG036,Climate change,pre,2,-0.18054175,-0.42275932
