ID,Gruppo,Concept,Time,cluster,pc1,pc2
ISG001,0,Climate change,pre,2,-0.09550169,-0.38201907
ISG001,0,Pollution,pre,3,0.43726853,-0.18946712
ISG001,0,Glaciers,pre,1,-0.5266353,0.14316443
ISG001,0,Sea,pre,-1,0.2732418,0.37875882
ISG001,0,Plants,pre,3,0.42865327,-0.24806912
ISG001,0,Climate change,post,2,-0.07190322,-0.38673726
ISG001,0,Pollution,post,3,0.41625828,0.050859336
ISG001,0,Glaciers,post,1,-0.49957883,0.1747347
ISG001,0,Sea,post,-1,0.2585917,0.47192314
ISG001,0,Plants,post,3,0.3581633,-0.3034458
ISG002,1,Climate change,pre,2,-0.28690428,-0.3638243
ISG002,1,Pollution,pre,3,0.44692668,-0.01994024
ISG002,1,Glaciers,pre,1,-0.6721645,-0.0154169435
ISG002,1,Sea,pre,0,0.004456063,0.66718805
ISG002,1,Plants,pre,3,0.324095,-0.24354962
ISG002,1,Climate change,post,2,-0.23749836,-0.42480826
ISG002,1,Pollution,post,3,0.45842355,0.028397065
ISG002,1,Glaciers,post,1,-0.46707788,0.010525736
ISG002,1,Sea,post,0,-0.14832571,0.44074598
ISG002,1,Plants,post,3,0.373406,-0.19013008
ISG003,1,Climate change,pre,2,-0.190322,-0.3759471
ISG003,1,Pollution,pre,3,0.42514107,-0.10685241
ISG003,1,Glaciers,pre,1,-0.61363614,-0.046513353
ISG003,1,Sea,pre,0,0.027277408,0.5763384
ISG003,1,Plants,pre,3,0.3314892,-0.24967661
ISG003,1,Climate change,post,2,-0.16401656,-0.34471634
ISG003,1,Pollution,post,3,0.41874796,-0.1617303
ISG003,1,Glaciers,post,1,-0.56802654,0.1227079
ISG003,1,Sea,post,0,0.10994033,0.5084219
ISG003,1,Plants,post,3,0.25384903,-0.17185861
ISG004,0,Climate change,pre,2,-0.31923273,-0.33913
ISG004,0,Pollution,pre,3,0.4632131,0.08531112
ISG004,0,Glaciers,pre,1,-0.67686373,-0.039755106
ISG004,0,Sea,pre,0,0.026273329,0.67269367
