ID,Gruppo,Time,cluster,pc1,pc2
ISG001,0,pre,-1,-0.17498626,-0.24593595
ISG001,0,post,-1,-0.19066903,-0.2521202
ISG002,1,pre,-1,-0.052285776,-0.009604506
ISG002,1,post,-1,0.023348065,0.16531952
ISG003,1,pre,-1,-0.095096976,-0.106371
ISG003,1,post,-1,-0.12411454,-0.03651206
ISG004,0,pre,-1,-0.017581165,0.1737707
ISG004,0,post,-1,0.023144769,0.15321234
ISG005,1,pre,-1,0.1274966,-0.029544897
ISG005,1,post,-1,-0.043356173,0.014941565
ISG006,1,pre,-1,-0.113673374,-0.12775202
ISG006,1,post,-1,-0.17294958,-0.11873552
ISG007,1,pre,-1,-0.08623598,0.11895793
ISG007,1,post,-1,0.11569938,0.15701208
ISG008,1,pre,-1,-0.036741953,0.057555445
ISG008,1,post,-1,0.05541566,-0.04105985
ISG010,0,pre,-1,0.07284562,0.16189237
ISG010,0,post,-1,0.02315023,0.15637995
ISG011,0,pre,-1,-0.09529403,0.03652314
ISG011,0,post,-1,-0.04999634,0.058232233
ISG012,1,pre,-1,0.024107784,-0.039696738
ISG012,1,post,-1,0.029282318,-0.021512287
ISG013,0,pre,-1,0.02995395,-0.19412813
ISG013,0,post,-1,-0.077311315,0.004553071
ISG014,0,pre,-1,0.08196335,-0.1326766
ISG014,0,post,-1,-0.08755418,0.08940783
ISG015,1,pre,-1,-0.1212761,-0.14887479
ISG015,1,post,-1,0.009117759,0.060600713
ISG016,1,pre,-1,-0.050250016,-0.14954221
ISG016,1,post,-1,-0.18232343,-0.2987149
ISG017,1,pre,-1,-0.034942254,0.011851616
ISG017,1,post,-1,-0.21148446,0.0021912213
ISG018,1,pre,-1,-0.038651016,0.059654765
ISG018,1,post,-1,-0.09951568,-0.16301322
ISG019,0,pre,-1,0.09460488,-0.05926985
ISG019,0,post,-1,0.08635523,0.026601782
ISG021,0,pre,-1,0.091914706,0.101434454
ISG021,0,post,-1,-0.061127488,0.006748796
ISG023,0,pre,-1,0.041205835,-0.08427188
ISG023,0,post,-1,-0.11692814,-0.012314597
ISG024,0,pre,-1,-0.032856546,0.03772135
ISG024,0,post,-1,0.006445067,-0.12774497
ISG025,0,pre,-1,0.0232208,-0.06482835
ISG025,0,post,-1,-0.06470357,-0.10657993
ISG026,1,pre,-1,0.22103101,-0.02971269
ISG026,1,post,-1,-0.02497137,-0.044881627
ISG027,1,pre,-1,0.04469999,0.0410829
ISG027,1,post,-1,0.003960476,0.027651377
ISG028,1,pre,-1,0.15710318,0.13545328
ISG028,1,post,-1,-0.102499224,-0.057471335
ISG029,1,pre,-1,0.006140703,0.08501808
ISG029,1,post,-1,-0.097615175,-0.17492601
ISG030,1,pre,-1,-0.087039076,0.09946585
ISG030,1,post,-1,-0.033231907,-0.066364504
ISG031,0,pre,-1,0.31577775,-0.15869668
ISG031,0,post,-1,-0.090486206,-0.12863933
ISG032,0,pre,-1,-0.03003552,-0.0632215
ISG032,0,post,-1,-0.12866311,-0.10072145
ISG033,0,pre,-1,-0.123543344,-0.25709015
ISG033,0,post,-1,-0.20256847,-0.22708693
ISG034,0,pre,-1,-0.05719408,-0.26153105
ISG034,0,post,-1,-0.013032522,-0.1315544
ISG035,0,pre,-1,0.08009248,0.029656662
ISG035,0,post,-1,-0.04065231,0.0583364
ISG036,1,pre,-1,0.016099809,-0.04662924
ISG036,1,post,-1,-0.13000217,-0.19991055
ISG037,0,pre,-1,-0.07750052,-0.08956558
ISG037,0,post,-1,-0.14060163,-0.09054093
ISG038,1,pre,-1,0.07590274,0.2673963
ISG038,1,post,-1,0.09737186,0.21685295
ISG040,1,pre,-1,-0.1184785,0.09422595
