ID,Gruppo,Time,cluster,pc1,pc2
ISG001,0,pre,-1,-0.17498626,-0.24593595
ISG001,0,post,-1,-0.19066903,-0.2521202
ISG004,0,pre,-1,-0.017581165,0.1737707
ISG004,0,post,-1,0.023144769,0.15321234
ISG010,0,pre,-1,0.07284562,0.16189237
ISG010,0,post,-1,0.02315023,0.15637995
ISG011,0,pre,-1,-0.09529403,0.03652314
ISG011,0,post,-1,-0.04999634,0.058232233
ISG013,0,pre,-1,0.02995395,-0.19412813
ISG013,0,post,-1,-0.077311315,0.004553071
ISG014,0,pre,-1,0.08196335,-0.1326766
ISG014,0,post,-1,-0.08755418,0.08940783
ISG019,0,pre,-1,0.09460488,-0.05926985
ISG019,0,post,-1,0.08635523,0.026601782
ISG021,0,pre,-1,0.091914706,0.101434454
ISG021,0,post,-1,-0.061127488,0.006748796
ISG023,0,pre,-1,0.041205835,-0.08427188
ISG023,0,post,-1,-0.11692814,-0.012314597
ISG024,0,pre,-1,-0.032856546,0.03772135
ISG024,0,post,-1,0.006445067,-0.12774497
ISG025,0,pre,-1,0.0232208,-0.06482835
ISG025,0,post,-1,-0.06470357,-0.10657993
ISG031,0,pre,-1,0.31577775,-0.15869668
ISG031,0,post,-1,-0.090486206,-0.12863933
ISG032,0,pre,-1,-0.03003552,-0.0632215
ISG032,0,post,-1,-0.12866311,-0.10072145
ISG033,0,pre,-1,-0.123543344,-0.25709015
ISG033,0,post,-1,-0.20256847,-0.22708693
ISG034,0,pre,-1,-0.05719408,-0.26153105
ISG034,0,post,-1,-0.013032522,-0.1315544
ISG035,0,pre,-1,0.08009248,0.029656662
ISG035,0,post,-1,-0.04065231,0.0583364
ISG037,0,pre,-1,-0.07750052,-0.08956558
ISG037,0,post,-1,-0.14060163,-0.09054093
ISG041,0,pre,-1,0.24450086,-0.07526035
ISG041,0,post,-1,0.13734864,0.11938351
ISG044,0,pre,-1,-0.016495636,-0.07312327
ISG044,0,post,-1,-0.03136446,0.012032238
ISG045,0,pre,-1,-0.010327762,-0.03560502
ISG045,0,post,-1,-0.16345605,-0.07772238
ISG047,0,pre,-1,0.03930336,0.14816734
ISG047,0,post,-1,-0.052183814,0.027874608
ISG049,0,pre,-1,0.18855299,-0.03538635
ISG049,0,post,-1,-0.029145915,-0.012619907
ISG053,0,pre,-1,-0.08130373,-0.0018991771
ISG053,0,post,-1,-0.15179455,0.014561001
ISG056,0,pre,-1,-0.15908918,-0.16815305
ISG056,0,post,-1,-0.123745546,-0.024355764
ISG057,0,pre,-1,0.17783202,0.073467545
ISG057,0,post,-1,-0.047487408,0.1757223
ISG058,0,pre,-1,0.013891889,0.12128838
ISG058,0,post,-1,-0.06255074,0.12623522
ISG059,0,pre,-1,0.0795562,0.048324328
ISG059,0,post,-1,0.027470808,0.16063936
ISG062,0,pre,-1,-0.07830974,-0.0695977
ISG062,0,post,-1,-0.0027042178,0.019033268
ISG063,0,pre,-1,0.2733627,0.1294339
ISG063,0,post,-1,0.15451257,0.27453476
ISG064,0,pre,-1,0.009693195,-0.085567415
ISG064,0,post,-1,-0.04585011,0.07632268
ISG069,0,pre,-1,0.37158722,-0.15683177
ISG069,0,post,-1,0.04829656,0.06630151
ISG070,0,pre,-1,0.009327708,-0.12198335
ISG070,0,post,-1,0.0050928975,0.06532747
ISG073,0,pre,-1,0.07625929,0.13014463
ISG073,0,post,-1,0.00091503764,0.1742774
