ID,C0,C1,C2,C3
ISG001,0,2,2,4
ISG073,2,2,2,4
ISG013,2,0,2,4
ISG014,2,1,2,4
ISG019,2,2,2,4
ISG056,2,2,2,3
ISG057,2,1,2,4
ISG058,2,2,2,4
ISG059,2,2,2,4
ISG062,2,2,2,4
ISG063,2,2,2,4
ISG021,2,2,2,4
ISG023,2,2,2,4
ISG024,2,0,2,4
ISG025,1,2,1,4
ISG049,2,2,2,4
ISG053,2,2,2,3
ISG041,1,2,2,4
ISG044,2,1,2,4
ISG045,2,2,2,4
ISG047,2,2,2,4
ISG031,2,2,2,3
ISG032,0,1,2,4
ISG033,1,1,1,4
ISG034,0,2,1,4
ISG035,2,2,2,4
ISG037,2,2,2,4
ISG004,2,2,2,4
ISG010,1,2,0,4
ISG011,2,2,2,3
ISG064,2,2,2,3
ISG069,2,2,2,4
ISG070,2,1,1,4
ISG065,2,2,2,4
ISG066,2,2,2,4
ISG067,2,2,2,4
ISG071,1,1,2,4
ISG072,2,2,1,4
ISG003,2,2,2,4
ISG005,2,2,1,4
ISG006,1,1,2,3
ISG007,2,2,1,4
ISG008,2,2,2,4
ISG030,2,2,1,3
ISG036,1,2,2,4
ISG038,1,2,2,4
ISG040,2,1,2,3
ISG043,2,2,2,3
ISG046,2,2,1,4
ISG048,1,2,1,4
ISG050,2,2,2,4
ISG051,2,2,1,3
ISG052,2,2,2,4
ISG054,2,1,2,4
ISG055,2,1,2,4
ISG026,2,2,1,4
ISG027,2,2,1,4
ISG028,1,1,2,3
ISG029,1,2,2,4
ISG060,2,2,2,4
ISG061,2,2,1,4
ISG012,1,2,2,4
ISG015,2,2,1,4
ISG016,1,1,2,4
ISG017,1,2,2,3
ISG018,2,2,2,3
ISG074,2,2,1,4
ISG002,2,2,2,4
